log_file,label,total_duration,time_until_first_answer,time_between_last_answer_and_submit,mean_time_per_question,std_dev_time_per_question,median_time_per_question,min_time_per_question,max_time_per_question,num_tab_switches,num_answer_changes,num_revisits,num_questions_attempted,accuracy,mean_time_z_score,min_time_z_score,max_time_z_score,std_dev_time_z_score,accuracy_deviation,tab_switch_deviation,answer_change_deviation,proportion_questions_fast,proportion_questions_correct_and_fast,proportion_questions_with_tab_switch,answer_change_rate
normal_detailed_struggler_0064.json,0,2617.887,68.789,1.124,113.8212,69.4607,80.038,32.265,272.331,0,13,3,23,0.3913,0.6,-1.6082,2.7054,1.1725,-0.3808,-2.06,10.401,0.0435,0.0435,0.0,0.5652
normal_detailed_slow_careful_0497.json,0,3574.584,70.621,0.0,132.392,69.0355,129.224,0.0,266.513,0,8,2,27,0.7692,1.2665,-3.1024,2.7468,1.1554,-0.0162,-2.429,4.899,0.037,0.0,0.0,0.2963
cheat_various_cheater_slow_careful_0108.json,1,2659.815,58.514,1.444,88.6605,20.3942,85.3205,60.231,127.481,0,5,1,30,0.8333,0.2718,-0.2622,1.8837,0.4662,0.0528,-2.686,1.586,0.0,0.0,0.0,0.1667
normal_detailed_average_0009.json,0,3305.112,55.646,2.06,110.1704,45.7587,94.652,49.863,201.777,0,5,2,30,0.6333,0.6795,-0.2081,1.92,0.499,-0.1472,-2.686,1.586,0.0,0.0,0.0,0.1667
normal_detailed_slow_careful_0478.json,0,3490.954,85.089,0.0,124.6769,59.1837,116.9865,0.0,227.787,0,6,2,28,0.6667,1.362,-1.9067,3.2233,1.1747,-0.1199,-2.499,2.799,0.0357,0.0,0.0,0.2143
cheat_various_cheater_smart_0120.json,1,1924.055,40.533,2.118,64.1352,23.4735,66.9115,25.665,109.623,5,1,1,30,0.9667,-0.6308,-1.5397,0.0386,0.4487,0.1862,2.314,-2.414,0.1,0.0667,0.1667,0.0333
normal_detailed_overconfident_0274.json,0,2043.195,45.923,1.0,68.1065,32.6328,61.1415,10.712,150.463,0,0,1,30,0.4,-0.6174,-2.4433,0.3953,0.5763,-0.3805,-2.686,-3.414,0.0667,0.0,0.0,0.0
normal_detailed_average_0273.json,0,3397.987,64.447,2.162,113.2662,51.3481,95.579,56.813,220.789,0,6,1,30,0.6333,0.7064,-0.1427,1.7297,0.4633,-0.1472,-2.686,2.586,0.0,0.0,0.0,0.2
cheat_various_cheater_slow_careful_0237.json,1,2610.598,60.761,2.275,87.0199,21.5291,83.054,57.26,134.283,0,3,2,30,0.9,0.1923,-0.3698,1.1835,0.3396,0.1195,-2.686,-0.414,0.0,0.0,0.0,0.1
cheat_various_cheater_smart_0435.json,1,1991.168,78.474,0.865,66.3723,19.7421,64.854,27.358,110.136,6,0,1,30,0.9,-0.4703,-1.4769,1.4099,0.5066,0.1195,3.314,-3.414,0.0,0.0,0.2,0.0
normal_detailed_struggler_0422.json,0,2546.449,61.203,2.685,110.7152,59.979,92.804,41.917,265.172,0,12,1,23,0.3478,0.6533,-0.7325,2.7212,0.9809,-0.4321,-2.05,9.361,0.0,0.0,0.0,0.5217
cheat_various_cheater_tab_switcher_0461.json,1,2055.653,62.577,1.06,68.5218,16.8454,65.8405,43.209,109.706,11,0,1,30,0.9333,-0.2887,-1.2716,1.3727,0.5993,0.1528,8.314,-3.414,0.0,0.0,0.3667,0.0
cheat_various_cheater_tab_switcher_0031.json,1,2155.717,54.557,1.901,71.8572,14.6622,68.645,48.231,104.015,20,0,2,30,0.8667,-0.1983,-1.0653,1.2309,0.5595,0.0862,17.314,-3.414,0.0,0.0,0.6667,0.0
cheat_various_cheater_smart_0177.json,1,2025.129,28.88,1.557,67.5043,19.7827,65.654,31.153,114.104,6,2,1,30,0.9333,-0.4395,-1.358,0.7273,0.4269,0.1528,3.314,-1.414,0.0,0.0,0.2,0.0667
cheat_various_cheater_smart_0198.json,1,1923.061,29.782,1.733,64.102,21.1277,64.3455,31.389,113.279,0,1,2,30,0.9667,-0.608,-1.3267,0.0715,0.3045,0.1862,-2.686,-2.414,0.0,0.0,0.0,0.0333
cheat_various_cheater_smart_0032.json,1,2073.016,31.915,1.491,69.1005,18.708,74.6625,30.942,98.68,7,3,5,30,1.0,-0.349,-1.2405,1.0721,0.5492,0.2195,4.314,-0.414,0.0,0.0,0.2333,0.1
cheat_various_pre_knowledge_0368.json,1,1209.551,28.121,6.454,40.3184,13.4151,42.0635,19.373,67.592,0,1,1,30,0.9333,-1.291,-2.053,-0.5939,0.3998,0.1528,-2.686,-2.414,0.2333,0.2333,0.0,0.0333
cheat_various_cheater_slow_careful_0260.json,1,2603.342,70.079,1.532,86.7781,22.5701,83.337,46.853,137.192,0,3,1,30,0.9667,0.1776,-0.3712,1.1696,0.4201,0.1862,-2.686,-0.414,0.0,0.0,0.0,0.1
cheat_various_cheater_tab_switcher_0123.json,1,2175.988,71.285,2.115,72.5329,19.3754,72.732,42.733,120.743,15,3,1,30,0.8333,-0.1843,-1.077,1.6649,0.6458,0.0528,12.314,-0.414,0.0,0.0,0.5,0.1
normal_detailed_struggler_0475.json,0,2478.661,56.036,1.369,107.7679,65.7772,81.576,29.075,252.08,0,9,1,23,0.4348,0.5056,-1.6654,3.4469,1.3747,-0.3368,-2.01,6.377,0.0435,0.0435,0.0,0.3913
cheat_various_pre_knowledge_0041.json,1,1310.434,47.681,1.076,43.6811,12.1213,44.086,23.17,68.435,0,0,1,30,1.0,-1.1606,-1.7301,-0.3672,0.3179,0.2195,-2.686,-3.414,0.1333,0.1333,0.0,0.0
normal_detailed_average_0048.json,0,3452.785,70.428,1.911,115.0928,53.8629,100.758,50.05,216.536,0,4,2,30,0.7333,0.7387,-0.3588,2.1055,0.5548,-0.0472,-2.686,0.586,0.0,0.0,0.0,0.1333
normal_detailed_struggler_0377.json,0,2560.35,43.882,1.497,116.3795,109.3508,66.5095,22.566,467.285,0,7,4,22,0.3636,0.4166,-1.7274,5.3172,1.7435,-0.4274,-1.974,4.505,0.0455,0.0455,0.0,0.3182
cheat_various_cheater_tab_switcher_0334.json,1,2073.483,56.107,1.713,69.1161,16.3198,65.5725,43.598,121.257,12,0,2,30,0.8667,-0.2432,-1.2556,1.2051,0.5608,0.0862,9.314,-3.414,0.0,0.0,0.4,0.0
cheat_various_pre_knowledge_0485.json,1,1316.406,31.088,0.5,43.8802,10.7403,43.173,26.276,67.215,0,0,1,30,0.9667,-1.1588,-1.8187,-0.6257,0.244,0.1862,-2.686,-3.414,0.0667,0.0667,0.0,0.0
normal_detailed_average_0176.json,0,3429.032,67.736,1.564,114.3011,48.6837,99.4615,55.272,206.681,0,4,2,30,0.6667,0.7736,-0.1206,1.3785,0.375,-0.1138,-2.686,0.586,0.0,0.0,0.0,0.1333
cheat_various_cheater_smart_0360.json,1,1869.73,46.552,1.729,62.3243,18.8104,62.517,28.953,102.394,5,2,2,30,1.0,-0.5878,-1.3715,1.0878,0.5069,0.2195,2.314,-1.414,0.0,0.0,0.1667,0.0667
normal_detailed_average_0033.json,0,3219.781,66.105,1.937,107.326,47.3295,94.5875,42.661,203.425,0,1,1,30,0.7333,0.546,-0.6077,1.1758,0.4217,-0.0472,-2.686,-2.414,0.0,0.0,0.0,0.0333
normal_detailed_slow_careful_0229.json,0,3576.007,77.155,0.0,132.4447,70.1677,118.39,0.0,257.306,0,4,1,27,0.7308,1.2535,-1.8727,2.7533,0.9564,-0.0459,-2.392,0.925,0.037,0.0,0.0,0.1481
normal_detailed_struggler_0320.json,0,2813.929,52.93,1.0,117.247,71.5561,96.4385,27.508,282.292,0,11,7,24,0.4167,0.6663,-1.451,3.6463,1.234,-0.3645,-2.148,8.262,0.0,0.0,0.0,0.4583
cheat_various_cheater_slow_careful_0309.json,1,2579.034,73.426,2.536,85.9678,20.2167,82.2615,52.063,119.319,0,0,2,30,0.9,0.1669,-0.3085,1.0145,0.3464,0.1195,-2.686,-3.414,0.0,0.0,0.0,0.0
normal_detailed_average_0208.json,0,3506.362,71.104,1.488,116.8787,50.0695,109.761,54.749,223.305,0,6,1,30,0.7333,0.8467,-0.0733,2.0988,0.5103,-0.0472,-2.686,2.586,0.0,0.0,0.0,0.2
normal_detailed_topper_0056.json,0,2551.412,44.434,1.379,85.0471,42.5844,73.699,33.18,164.937,0,0,1,30,0.7667,-0.1952,-1.1385,0.5238,0.458,-0.0138,-2.686,-3.414,0.0,0.0,0.0,0.0
cheat_various_cheater_slow_careful_0020.json,1,2632.188,55.45,0.661,87.7396,22.9969,81.441,54.747,126.974,0,6,1,30,0.9333,0.1983,-0.2614,1.1445,0.3874,0.1528,-2.686,2.586,0.0,0.0,0.0,0.2
cheat_various_pre_knowledge_0128.json,1,1320.649,36.617,2.158,44.0216,11.3971,42.0515,29.991,76.902,1,0,1,30,1.0,-1.1355,-1.6559,-0.5141,0.2663,0.2195,-1.686,-3.414,0.1,0.1,0.0333,0.0
normal_detailed_slow_careful_0415.json,0,3544.316,70.161,0.0,136.3198,71.0657,122.053,0.0,256.944,0,6,1,26,0.84,1.1778,-3.1024,2.8346,1.1106,0.0601,-2.329,3.034,0.0385,0.0,0.0,0.2308
cheat_various_pre_knowledge_0082.json,1,1310.431,37.306,1.99,43.681,11.1099,44.18,24.299,65.975,0,0,1,30,0.9333,-1.1768,-1.7469,-0.7121,0.2458,0.1528,-2.686,-3.414,0.1,0.1,0.0,0.0
normal_detailed_struggler_0459.json,0,3231.996,57.736,1.576,129.2798,100.1611,106.07,31.617,418.982,0,13,3,25,0.48,0.8403,-1.6391,4.4028,1.3775,-0.3018,-2.226,10.149,0.04,0.0,0.0,0.52
normal_detailed_struggler_0336.json,0,2085.136,42.561,2.208,94.7789,67.2723,77.719,19.297,305.409,0,9,3,22,0.4091,0.3323,-1.9444,2.5151,1.338,-0.3813,-1.953,6.458,0.0909,0.0455,0.0,0.4091
cheat_various_pre_knowledge_0352.json,1,1311.915,21.976,2.557,43.7305,11.0342,47.3915,22.533,63.708,0,1,1,30,0.9667,-1.1323,-1.8302,0.1787,0.3725,0.1862,-2.686,-2.414,0.1333,0.1333,0.0,0.0333
cheat_various_pre_knowledge_0094.json,1,1253.192,36.673,1.224,41.7731,11.0094,41.16,23.348,69.799,0,0,1,30,0.9667,-1.2223,-1.8205,-0.7988,0.2667,0.1862,-2.686,-3.414,0.1333,0.1333,0.0,0.0
normal_detailed_slow_careful_0053.json,0,3577.795,64.18,0.0,132.5109,68.6192,120.005,0.0,296.306,0,9,4,27,0.6923,1.4935,-2.9082,3.0515,1.0619,-0.097,-2.416,5.897,0.037,0.0,0.0,0.3333
cheat_various_cheater_smart_0264.json,1,1995.049,38.362,2.31,66.5016,19.8096,64.3015,27.266,109.983,6,2,2,30,0.9667,-0.4795,-1.4821,0.3742,0.397,0.1862,3.314,-1.414,0.0,0.0,0.2,0.0667
normal_detailed_overconfident_0130.json,0,1958.942,45.3,1.663,65.2981,30.3881,57.337,25.252,154.017,0,2,1,30,0.6333,-0.636,-1.6104,0.4821,0.4766,-0.1472,-2.686,-1.414,0.0333,0.0333,0.0,0.0667
normal_detailed_overconfident_0075.json,0,1971.721,36.035,2.098,65.724,30.4808,65.4675,21.169,126.412,0,1,1,30,0.5667,-0.6404,-1.8925,0.3291,0.6037,-0.2138,-2.686,-2.414,0.1333,0.0667,0.0,0.0333
normal_detailed_average_0072.json,0,3509.309,67.87,1.0,116.977,53.1723,99.9645,48.848,221.798,0,11,2,30,0.7333,0.8371,-0.2698,2.151,0.6367,-0.0472,-2.686,7.586,0.0,0.0,0.0,0.3667
cheat_various_pre_knowledge_0305.json,1,1327.094,32.003,0.597,44.2365,13.4053,45.376,26.702,78.603,0,0,1,30,1.0,-1.1864,-1.7317,-0.6993,0.2555,0.2195,-2.686,-3.414,0.1333,0.1333,0.0,0.0
cheat_various_cheater_tab_switcher_0267.json,1,2039.891,53.447,1.898,67.9964,16.9697,66.3605,47.012,104.296,11,1,1,30,0.9,-0.292,-1.1586,0.9725,0.574,0.1195,8.314,-2.414,0.0,0.0,0.3667,0.0333
cheat_various_pre_knowledge_0493.json,1,1225.331,30.05,1.766,40.8444,10.0062,39.9225,24.126,63.11,0,1,1,30,0.9667,-1.2305,-1.99,-0.8198,0.2903,0.1862,-2.686,-2.414,0.1333,0.1333,0.0,0.0333
cheat_various_cheater_slow_careful_0431.json,1,2616.262,67.025,1.077,87.2087,20.5972,85.92,54.19,121.669,0,2,1,30,0.9333,0.2117,-0.3282,1.0829,0.3946,0.1528,-2.686,-1.414,0.0,0.0,0.0,0.0667
cheat_various_cheater_slow_careful_0124.json,1,2550.067,53.305,0.507,85.0022,21.0161,82.4325,50.86,116.253,0,3,2,30,0.9333,0.1207,-0.343,1.1137,0.3273,0.1528,-2.686,-0.414,0.0,0.0,0.0,0.1
normal_detailed_slow_careful_0141.json,0,3588.073,73.082,0.0,149.503,71.611,130.5555,0.0,258.276,0,4,1,24,0.6087,1.3828,-2.9516,2.698,1.0793,-0.1598,-2.134,1.282,0.0417,0.0,0.0,0.1667
cheat_various_cheater_tab_switcher_0093.json,1,2293.9,67.98,1.803,76.4633,17.8064,78.063,48.175,121.37,20,0,1,30,0.8,-0.0271,-1.0178,1.4121,0.6893,0.0195,17.314,-3.414,0.0,0.0,0.6667,0.0
normal_detailed_average_0052.json,0,3320.097,70.628,1.069,110.6699,47.1262,97.809,51.291,200.692,0,3,2,30,0.7667,0.6711,-0.2289,2.4372,0.502,-0.0138,-2.686,-0.414,0.0,0.0,0.0,0.1
normal_detailed_struggler_0480.json,0,2071.067,68.538,1.282,98.6222,75.7252,84.435,3.429,314.663,0,5,2,21,0.5238,0.2906,-2.8495,2.7018,1.6412,-0.2653,-1.868,2.576,0.1905,0.1429,0.0,0.2381
normal_detailed_average_0394.json,0,3426.692,55.885,1.0,114.2231,53.4204,103.155,53.495,224.963,0,2,1,30,0.7333,0.7093,-0.2801,2.0609,0.6023,-0.0472,-2.686,-1.414,0.0,0.0,0.0,0.0667
normal_detailed_overconfident_0239.json,0,2012.408,31.983,2.05,67.0803,25.895,65.5745,32.083,113.965,0,1,1,30,0.5,-0.5486,-1.5589,0.1782,0.4708,-0.2805,-2.686,-2.414,0.0333,0.0333,0.0,0.0333
cheat_various_cheater_smart_0497.json,1,1852.287,49.834,2.139,61.7429,18.248,61.8045,27.89,91.416,7,0,2,30,0.9333,-0.6327,-1.4297,0.2978,0.3578,0.1528,4.314,-3.414,0.0,0.0,0.2333,0.0
normal_detailed_struggler_0316.json,0,2664.026,38.246,1.387,126.8584,101.3907,96.9,3.694,368.239,0,12,2,21,0.4762,0.7797,-2.8451,3.4754,1.6465,-0.3055,-1.859,9.587,0.0476,0.0476,0.0,0.5714
normal_detailed_average_0005.json,0,3238.083,74.199,1.0,107.9361,46.893,98.91,33.78,209.801,0,3,1,30,0.7667,0.6358,-1.0706,2.9168,0.784,-0.0138,-2.686,-0.414,0.0,0.0,0.0,0.1
cheat_various_cheater_slow_careful_0104.json,1,2585.965,70.302,1.342,86.1988,18.7667,84.061,56.236,118.399,0,2,1,30,0.8333,0.1977,-0.3135,0.9615,0.3718,0.0528,-2.686,-1.414,0.0,0.0,0.0,0.0667
normal_detailed_average_0455.json,0,3308.886,67.311,1.47,110.2962,51.3286,90.4685,44.949,209.17,0,1,2,30,0.5667,0.5992,-0.4852,2.0879,0.5415,-0.2138,-2.686,-2.414,0.0,0.0,0.0,0.0333
normal_detailed_struggler_0087.json,0,2424.343,43.294,1.598,105.4062,87.2098,69.128,38.283,304.383,0,5,3,23,0.3478,0.3754,-1.1059,3.0297,1.272,-0.4423,-2.059,2.345,0.0,0.0,0.0,0.2174
cheat_various_pre_knowledge_0149.json,1,1308.117,41.901,0.957,43.6039,11.3172,44.1665,22.397,69.742,0,0,1,30,0.9,-1.1567,-1.7744,-0.5793,0.3084,0.1195,-2.686,-3.414,0.2333,0.2,0.0,0.0
normal_detailed_average_0140.json,0,3465.227,56.071,1.627,115.5076,52.7308,102.233,50.815,229.04,0,3,2,30,0.6667,0.7499,-0.15,1.6392,0.505,-0.1138,-2.686,-0.414,0.0,0.0,0.0,0.1
normal_detailed_average_0269.json,0,3199.873,53.859,1.976,106.6624,46.1025,85.1265,54.986,195.514,0,4,3,30,0.7,0.5629,-0.4428,1.9381,0.526,-0.0805,-2.686,0.586,0.0,0.0,0.0,0.1333
normal_detailed_slow_careful_0248.json,0,3435.909,85.691,0.0,137.4364,76.0248,107.812,0.0,284.034,0,6,2,25,0.8333,1.4996,-1.9017,3.2196,1.0163,0.0508,-2.246,3.132,0.04,0.0,0.0,0.24
cheat_various_cheater_slow_careful_0387.json,1,2605.558,60.853,0.98,86.8519,19.0004,83.03,56.094,119.598,0,5,1,30,0.8667,0.2324,-0.3487,1.5976,0.502,0.0862,-2.686,1.586,0.0,0.0,0.0,0.1667
cheat_various_pre_knowledge_0325.json,1,1266.878,37.008,1.654,42.2293,10.2178,39.997,23.208,64.732,0,1,1,30,1.0,-1.173,-2.0292,-0.484,0.3178,0.2195,-2.686,-2.414,0.1333,0.1333,0.0,0.0333
normal_detailed_average_0443.json,0,3318.976,64.931,1.338,110.6325,52.1334,90.604,28.769,210.573,0,6,2,30,0.7,0.6295,-1.3496,2.0708,0.7199,-0.0805,-2.686,2.586,0.0,0.0,0.0,0.2
normal_detailed_average_0013.json,0,3332.906,63.431,1.465,111.0969,48.6549,88.458,45.517,217.023,0,5,2,30,0.7333,0.7012,-0.868,1.8495,0.6071,-0.0472,-2.686,1.586,0.0,0.0,0.0,0.1667
normal_detailed_overconfident_0151.json,0,2104.559,33.274,1.458,70.152,29.7063,69.108,26.327,128.003,0,2,1,30,0.5,-0.5045,-1.5494,0.3606,0.4872,-0.2805,-2.686,-1.414,0.0333,0.0333,0.0,0.0667
normal_detailed_overconfident_0278.json,0,2111.189,33.091,1.505,70.373,32.5576,65.3175,23.969,136.889,0,0,1,30,0.3667,-0.54,-1.6679,0.353,0.5078,-0.4138,-2.686,-3.414,0.0333,0.0333,0.0,0.0
cheat_various_cheater_tab_switcher_0314.json,1,2179.674,63.843,1.44,72.6558,15.5999,72.691,45.879,100.908,15,1,1,30,0.8667,-0.1458,-1.1741,1.1975,0.6147,0.0862,12.314,-2.414,0.0,0.0,0.5,0.0333
cheat_various_cheater_smart_0439.json,1,1903.706,52.759,1.261,63.4569,19.074,61.478,34.763,107.701,4,1,4,30,0.9333,-0.5615,-1.0758,0.0387,0.3359,0.1528,1.314,-2.414,0.0,0.0,0.1333,0.0333
cheat_various_cheater_smart_0069.json,1,2076.798,51.415,1.04,69.2266,21.2953,68.843,27.849,97.877,5,1,1,30,0.9667,-0.4072,-1.4009,0.5175,0.4665,0.1862,2.314,-2.414,0.0,0.0,0.1667,0.0333
cheat_various_pre_knowledge_0299.json,1,1295.911,29.59,1.908,43.197,9.9519,44.885,23.989,62.775,0,1,1,30,0.9,-1.1546,-1.8042,-0.4052,0.3029,0.1195,-2.686,-2.414,0.1,0.1,0.0,0.0333
cheat_various_cheater_slow_careful_0391.json,1,2600.486,57.505,17.331,86.6829,20.1646,82.628,52.84,126.014,0,5,2,30,0.9,0.2024,-0.389,0.9741,0.3934,0.1195,-2.686,1.586,0.0,0.0,0.0,0.1667
cheat_various_cheater_slow_careful_0145.json,1,2587.233,61.313,1.688,86.2411,20.1141,84.011,54.114,118.716,0,2,1,30,0.9,0.1858,-0.3788,1.2947,0.3921,0.1195,-2.686,-1.414,0.0,0.0,0.0,0.0667
normal_detailed_struggler_0496.json,0,3023.227,28.947,2.393,120.9291,89.5781,104.548,9.27,317.708,0,10,3,25,0.36,0.4106,-2.463,2.8826,1.497,-0.4158,-2.232,7.151,0.12,0.08,0.0,0.4
cheat_various_cheater_tab_switcher_0343.json,1,2074.257,54.958,0.913,69.1419,21.2809,65.2465,22.93,122.718,13,0,1,30,0.8667,-0.2701,-1.5577,1.3492,0.6245,0.0862,10.314,-3.414,0.0333,0.0333,0.4333,0.0
cheat_various_pre_knowledge_0221.json,1,1330.094,38.114,1.04,44.3365,13.1695,39.5325,20.362,72.511,0,1,1,30,0.9667,-1.1257,-1.8847,-0.3595,0.3116,0.1862,-2.686,-2.414,0.0667,0.0667,0.0,0.0333
cheat_various_cheater_slow_careful_0329.json,1,2605.145,62.962,1.103,86.8382,21.0266,82.313,53.727,128.605,0,2,1,30,0.9,0.1936,-0.3429,1.2624,0.3809,0.1195,-2.686,-1.414,0.0,0.0,0.0,0.0667
cheat_various_cheater_tab_switcher_0441.json,1,2031.744,58.278,1.435,67.7248,16.6042,65.341,42.404,104.825,11,0,1,30,0.9667,-0.2606,-1.3021,1.5664,0.7566,0.1862,8.314,-3.414,0.0,0.0,0.3667,0.0
normal_detailed_struggler_0117.json,0,2228.409,20.707,1.0,106.1147,99.6339,68.464,24.661,477.315,0,11,3,21,0.4762,0.5113,-1.7136,4.8568,1.5408,-0.328,-1.878,8.61,0.0476,0.0476,0.0,0.5238
cheat_various_cheater_smart_0229.json,1,2000.449,58.002,1.137,66.6816,20.0259,65.3185,37.201,101.713,6,2,2,30,1.0,-0.4622,-0.9651,0.6713,0.418,0.2195,3.314,-1.414,0.0,0.0,0.2,0.0667
cheat_various_pre_knowledge_0489.json,1,1248.022,42.007,15.322,41.6007,10.9118,41.822,23.816,71.932,0,2,1,30,1.0,-1.2216,-1.907,-0.6959,0.2751,0.2195,-2.686,-1.414,0.1667,0.1667,0.0,0.0667
normal_detailed_average_0195.json,0,3387.752,62.775,1.891,112.9251,50.6019,97.2935,52.27,226.981,0,5,1,30,0.5667,0.7223,-0.2402,2.6139,0.59,-0.2138,-2.686,1.586,0.0,0.0,0.0,0.1667
normal_detailed_struggler_0402.json,0,2242.066,45.155,1.966,101.9121,77.6477,84.2765,8.67,312.578,0,5,3,22,0.5455,0.1946,-2.4688,2.8056,1.2576,-0.2333,-1.959,2.483,0.0909,0.0455,0.0,0.2273
cheat_various_cheater_slow_careful_0217.json,1,2544.164,65.644,1.14,84.8055,18.4997,83.187,57.751,126.637,0,3,2,30,0.9667,0.1573,-0.3905,0.9865,0.3664,0.1862,-2.686,-0.414,0.0,0.0,0.0,0.1
normal_detailed_overconfident_0080.json,0,2137.863,30.463,1.722,71.2621,31.0998,61.333,28.142,149.19,0,1,1,30,0.5,-0.4403,-1.6594,0.6003,0.5448,-0.2805,-2.686,-2.414,0.0333,0.0333,0.0,0.0333
cheat_various_cheater_tab_switcher_0416.json,1,2142.239,73.351,1.784,71.408,14.3035,72.2695,46.588,101.37,19,0,3,30,0.9333,-0.1086,-1.1896,1.7366,0.6352,0.1528,16.314,-3.414,0.0,0.0,0.6333,0.0
normal_detailed_average_0068.json,0,3394.19,49.223,1.059,113.1397,48.1478,95.214,50.525,204.519,0,4,1,30,0.6667,0.7484,-0.2968,1.881,0.5626,-0.1138,-2.686,0.586,0.0,0.0,0.0,0.1333
normal_detailed_average_0341.json,0,3391.276,55.144,1.886,113.0425,55.3556,94.0475,41.011,223.218,0,4,1,30,0.6667,0.6509,-0.668,1.7121,0.6066,-0.1138,-2.686,0.586,0.0,0.0,0.0,0.1333
normal_detailed_average_0204.json,0,3515.169,59.426,1.123,117.1723,54.5183,97.7705,42.829,209.144,0,6,1,30,0.7333,0.8012,-0.6245,1.9467,0.5658,-0.0472,-2.686,2.586,0.0,0.0,0.0,0.2
normal_detailed_overconfident_0096.json,0,2095.258,33.113,1.0,69.8419,28.3988,66.7325,30.357,131.795,0,1,1,30,0.5333,-0.4855,-1.505,0.4902,0.4675,-0.2472,-2.686,-2.414,0.0333,0.0333,0.0,0.0333
cheat_various_cheater_smart_0268.json,1,1846.672,66.701,0.5,61.5557,14.0839,62.827,42.134,91.63,8,0,3,30,0.8667,-0.5723,-1.2078,0.6492,0.3646,0.0862,5.314,-3.414,0.0,0.0,0.2667,0.0
cheat_various_pre_knowledge_0077.json,1,1309.377,44.561,1.188,43.6459,9.7146,42.799,26.84,60.232,0,0,1,30,1.0,-1.134,-1.7725,-0.4873,0.292,0.2195,-2.686,-3.414,0.1,0.1,0.0,0.0
cheat_various_cheater_tab_switcher_0115.json,1,2096.915,57.69,1.323,69.8972,18.909,61.844,43.306,115.131,8,3,4,30,0.8667,-0.2718,-1.2596,0.8343,0.502,0.0862,5.314,-0.414,0.0,0.0,0.2667,0.1
normal_detailed_struggler_0290.json,0,2474.879,62.949,1.638,117.8514,101.7545,72.935,7.265,355.779,0,9,2,21,0.1429,0.5444,-2.0815,3.4541,1.5964,-0.6275,-1.861,6.598,0.1429,0.0,0.0,0.4286
